time,price
2026-03-07T17:45:01+00:00,1981.18
2026-03-07T17:45:02+00:00,1981.18
2026-03-07T17:45:03+00:00,1981.18
2026-03-07T17:45:04+00:00,1981.18
2026-03-07T17:45:05+00:00,1981.18
2026-03-07T17:45:06+00:00,1981.18
2026-03-07T17:45:07+00:00,1981.18
2026-03-07T17:45:08+00:00,1981.18
2026-03-07T17:45:09+00:00,1981.18
2026-03-07T17:45:10+00:00,1981.18
2026-03-07T17:45:11+00:00,1980.88
2026-03-07T17:45:12+00:00,1980.88
2026-03-07T17:45:13+00:00,1980.88
2026-03-07T17:45:14+00:00,1980.88
2026-03-07T17:45:15+00:00,1980.88
2026-03-07T17:45:16+00:00,1980.88
2026-03-07T17:45:17+00:00,1980.72
2026-03-07T17:45:18+00:00,1980.8
2026-03-07T17:45:19+00:00,1980.79
2026-03-07T17:45:20+00:00,1980.79
2026-03-07T17:45:21+00:00,1980.8
2026-03-07T17:45:22+00:00,1980.79
2026-03-07T17:45:23+00:00,1980.79
2026-03-07T17:45:24+00:00,1980.79
2026-03-07T17:45:25+00:00,1980.79
2026-03-07T17:45:26+00:00,1980.79
2026-03-07T17:45:27+00:00,1980.79
2026-03-07T17:45:28+00:00,1980.8
2026-03-07T17:45:29+00:00,1980.8
2026-03-07T17:45:30+00:00,1980.8
2026-03-07T17:45:31+00:00,1980.8
2026-03-07T17:45:32+00:00,1980.8
2026-03-07T17:45:33+00:00,1980.8
2026-03-07T17:45:34+00:00,1980.8
2026-03-07T17:45:36+00:00,1980.8
2026-03-07T17:45:38+00:00,1980.8
2026-03-07T17:45:39+00:00,1980.8
2026-03-07T17:45:40+00:00,1980.8
2026-03-07T17:45:41+00:00,1980.8
2026-03-07T17:45:42+00:00,1980.8
2026-03-07T17:45:43+00:00,1980.8
2026-03-07T17:45:44+00:00,1980.8
2026-03-07T17:45:45+00:00,1980.8
2026-03-07T17:45:47+00:00,1980.8
2026-03-07T17:45:48+00:00,1980.8
2026-03-07T17:45:49+00:00,1980.8
2026-03-07T17:45:50+00:00,1980.8
2026-03-07T17:45:51+00:00,1980.79
2026-03-07T17:45:52+00:00,1980.79
2026-03-07T17:45:53+00:00,1980.8
2026-03-07T17:45:55+00:00,1980.8
2026-03-07T17:45:56+00:00,1980.8
2026-03-07T17:45:57+00:00,1980.8
2026-03-07T17:45:58+00:00,1980.8
2026-03-07T17:45:59+00:00,1980.8
2026-03-07T17:46:00+00:00,1980.79
2026-03-07T17:46:01+00:00,1980.79
2026-03-07T17:46:02+00:00,1980.79
2026-03-07T17:46:03+00:00,1980.79
2026-03-07T17:46:04+00:00,1980.79
2026-03-07T17:46:05+00:00,1980.8
2026-03-07T17:46:06+00:00,1980.8
2026-03-07T17:46:07+00:00,1980.8
2026-03-07T17:46:08+00:00,1980.8
2026-03-07T17:46:09+00:00,1980.8
2026-03-07T17:46:10+00:00,1980.8
2026-03-07T17:46:11+00:00,1980.8
2026-03-07T17:46:12+00:00,1980.8
2026-03-07T17:46:14+00:00,1980.8
2026-03-07T17:46:15+00:00,1980.8
2026-03-07T17:46:17+00:00,1980.8
2026-03-07T17:46:18+00:00,1980.8
2026-03-07T17:46:19+00:00,1980.79
2026-03-07T17:46:20+00:00,1980.8
2026-03-07T17:46:21+00:00,1980.8
2026-03-07T17:46:22+00:00,1980.8
2026-03-07T17:46:23+00:00,1980.8
2026-03-07T17:46:25+00:00,1980.8
2026-03-07T17:46:26+00:00,1980.8
2026-03-07T17:46:27+00:00,1980.79
2026-03-07T17:46:28+00:00,1980.79
2026-03-07T17:46:29+00:00,1980.79
2026-03-07T17:46:30+00:00,1980.79
2026-03-07T17:46:31+00:00,1980.79
2026-03-07T17:46:32+00:00,1980.8
2026-03-07T17:46:33+00:00,1980.8
2026-03-07T17:46:34+00:00,1980.8
2026-03-07T17:46:35+00:00,1980.8
2026-03-07T17:46:37+00:00,1980.79
2026-03-07T17:46:38+00:00,1980.8
2026-03-07T17:46:39+00:00,1980.8
2026-03-07T17:46:40+00:00,1980.8
2026-03-07T17:46:41+00:00,1980.8
2026-03-07T17:46:42+00:00,1980.79
2026-03-07T17:46:43+00:00,1980.8
2026-03-07T17:46:44+00:00,1980.72
